srl,field_name,name,block,item,length,byte_start,byte_end,remarks
97,ind24,Industry Code (NIC) for activity 2,6,5/3.4,2,203,204,
98,hrs24,hours actuallly worked for activity 2 on 4th day,6,6/3.4,2,205,206,
99,ern24,wage earning for activity 2 on 4th day,6,9/3.4,5,207,211,
100,tot_hrs4,total hours actually worked on 4th day,6,7/3.4,2,212,213,
101,hav4,hours available for aditional worked on 4th day,6,8/3.4,2,214,215,
102,sts15,Status Code for activity 1,6,4/3.5,2,216,217,
103,ind15,Industry Code (NIC) for activity 1,6,5/3.5,2,218,219,
104,hrs15,hours actuallly worked for activity 1 on 3rd day,6,6/3.5,2,220,221,
105,ern15,wage earning for activity 1 on 3rd day,6,9/3.5,5,222,226,
106,sts25,Status Code for activity 2,6,4/3.5,2,227,228,
107,ind25,Industry Code (NIC) for activity 2,6,5/3.5,2,229,230,
108,hrs25,hours actuallly worked for activity 2 on 3rd day,6,6/3.5,2,231,232,
109,ern25,wage earning for activity 2 on 3 rd day,6,9/3.5,5,233,237,
110,tot_hrs5,total hours actually worked on 3rd day,6,7/3.5,2,238,239,
111,hav5,hours available for aditional worked on 3rd day,6,8/3.5,2,240,241,
112,sts16,Status Code for activity 1,6,4/3.6,2,242,243,
113,ind16,Industry Code (NIC) for activity 1,6,5/3.6,2,244,245,
114,hrs16,hours actuallly worked for activity 1 on 2nd day,6,6/3.6,2,246,247,
115,ern16,wage earning for activity 1 on 2nd day,6,9/3.6,5,248,252,
116,sts26,Status Code for activity 2,6,4/3.6,2,253,254,
117,ind26,Industry Code (NIC) for activity 2,6,5/3.6,2,255,256,
118,hrs26,hours actuallly worked for activity 2 on 2nd day,6,6/3.6,2,257,258,
119,ern26,wage earning for activity 2 on 2nd day,6,9/3.6,5,259,263,
120,tot_hrs6,total hours actually worked on 2nd day,6,7/3.6,2,264,265,
121,hav6,hours available for aditional worked on 2nd day,6,8/3.6,2,266,267,
122,sts17,Status Code for activity 1,6,4/3.7,2,268,269,
123,ind17,Industry Code (NIC) for activity 1,6,5/3.7,2,270,271,
124,hrs17,hours actuallly worked for activity 1 on 1st day,6,6/3.7,2,272,273,
125,ern17,wage earning for activity 1 on 1st day,6,9/3.7,5,274,278,
126,sts27,Status Code for activity 2,6,4/3.7,2,279,280,
127,ind27,Industry Code (NIC) for activity 2,6,5/3.7,2,281,282,
128,hrs27,hours actuallly worked for activity 2 on 1st day,6,6/3.7,2,283,284,
129,ern27,wage earning for activity 2 on 1st day,6,9/3.7,5,285,289,
130,tot_hrs7,total hours actually worked on 1st day,6,7/3.7,2,290,291,
131,hav7,hours available for aditional worked on 1st day,6,8/3.7,2,292,293,
132,aps_cws,Current Weekly Status (CWS),6,5,2,294,295,
133,aind_cws,Industry Code (CWS),6,6,2,296,297,
134,ocu_cws,Occupation Code (CWS),6,7,3,298,300,
135,ern_reg,Earnings For Regular Salaried/Wage Activity,6,9,8,301,308,
136,ern_self,Earnings For Self Employed,6,10,8,309,316,
137,nss,Ns count for sector x stratum x substratum x sub-sample,Generated,,3,317,319,NSS
138,nsc,Ns count for sector x stratum x substratum,Generated,,3,320,322,NSC
139,mult,Sub-sample wise Multiplier,Generated,,10,323,332,MULT
140,no_qtr,Occurance of FSUs in State x Sector x Stratum x SubStratum in 4 Quarters,Generated,,1,333,333,No_Qtr
